Date,Time,Location,Description
2/2/2018,1342,1215 Lee Street,ASSIST AGENCY
2/2/2018,1612,1210 Lee Street,DOMESTIC DISTURBANCE
2/2/2018,2120,1215 Lee Street,LOST PROPERTY
2/3/2018,102,478 Floyd Drive,"ASSIST CITIZEN, UNDERAGE POSSESSION"
2/3/2018,115,450 McCormick Drive,"ASSIST CITIZEN, UNDERAGE POSSESSION"
2/3/2018,150,1215 Lee Street,LARCENY
2/3/2018,1253,555 McCormick Rd,UNDERAGE POSSESSION
2/3/2018,1900,561 McCormick Road,SEXUAL ASSAULT
2/4/2018,17,1136 Emmet Street,SIMPLE ASSAULT
2/5/2018,952,1315 Lee Street,ASSIST CITIZEN
2/5/2018,1001,2304 Ivy Road,ASSIST AGENCY
2/6/2018,7,180 Culbreth Road,SUICIDE
2/6/2018,1105,1215 Lee Street,THREATENING TEXT MESSAGES
2/7/2018,520,1215 Lee Street,DRUNK IN PUBLIC
2/7/2018,1395,1101 Millmont Street,FOUND PROPERTY
2/7/2018,2209,436 McCormick Road,ASSIST CITIZEN/UNDERAGE POSSESSION
2/7/2018,2209,436 McCormick Road,POSSESSION OF MARIJUANA
2/8/2018,223,425 Tree House Drive,ASSIST CITIZEN
2/8/2018,1030,2304 Ivy Road,SUSPICIOUS INCIDENT
2/8/2018,1816,2504 Stadium Road,BURGLARY
2/8/2018,2053,510 Seymour Road,BURGLARY
2/8/2018,2219,128 Chancellor Street,UNDERAGE POSSESSION
2/9/2018,42,201 Sprigg Lane,FOUND PROPERTY
2/9/2018,110,463 Lambeth Road,ASSIST CITIZEN/MEDICAL
2/9/2018,314,201 Sprigg Lane,MEDICAL ASSIST/UNDERAGE POSSESSION
2/9/2018,1056,1215 Lee Street,LARCENY
2/9/2018,1132,15 Alden Street,ANNOYING EMAIL
2/9/2018,1229,278 North Peyton Court,HIT AND RUN
2/9/2018,1230,406 Farrish Circle,BURGLARY
2/9/2018,1320,31 Bonnycastle Drive,PROPERTY DAMAGE
2/9/2018,1619,155 Rugby Road,ASSIST AGENCY
2/9/2018,1619,155 Rugby Road,NARCOTIC VIOLATION
2/9/2018,1806,547 Seymour Road,BURGLARY
2/9/2018,2202,450 McCormick,NARCOTICS VIOLATION/UNDERAGE POSSESSION
2/9/2018,2222,155 Rugby Road,ASSIST AGENCY
2/9/2018,2349,425 Tree House Drive,MEDICAL ASSIST/UNDERAGE POSSESSION
2/10/2018,15,579 McCormick Road,MEDICAL ASSIST/UNDERAGE POSSESSION
2/10/2018,157,1427 University Avenue,DRUNK IN PUBLIC
2/10/2018,956,"314 W. Echols, McCormick",ASSIST CITIZEN
2/10/2018,1516,50 Lambeth Field,SUSPICIOUS VEHICLE
2/10/2018,1905,525McCormick Road,ASSIST CITIZEN
2/11/2018,238,1619 University Avenue,DUI
2/11/2018,313,295 Massie Road,DRUNK IN PUBLIC
2/11/2018,402,1415 Jefferson Park Avenue,DRUNK IN PUBLIC
2/11/2018,959,1215 Lee Street,ASSIST AGENCY
2/11/2018,2055,450 Whitehead Road,SEX OFFENSE
2/11/2018,1916,165 Rugby Avenue,LARCENY
2/12/2018,56,395 McCormick Road,FIRES NOT ARSON
2/12/2018,0,The Lawn,DRUNK IN PUBLIC/TRESPASS
2/12/2018,1416,2304 Ivy Road,ASSIST AGENCY
2/12/2018,1606,102 Amphitheater Way,DISTRIBUTION OF FLYERS
2/12/2018,1617,1215 Lee Street,ANNOYING PHONE CALLS
2/13/2018,704,14 East Lawn,SUSPICIOUS FLYER
2/13/2018,722,245 Hereford Drive,DISTRIBUTION OF FLYERS
2/13/2018,644,485 McCormick Road,LOST PROPERTY
2/13/2018,928,1540 E JPA,SUSPICIOUS NOTE ON DOOR
2/13/2018,1623,525 McCormick Road,LOST PROPERTY
2/13/2018,1637,1215 Lee Street,FOUND PROPERTY
2/13/2018,2310,1215 Lee Street,ASSIST AGENCY
2/14/2018,555,1101 Millmont Street,ACCIDENT
2/14/2018,1125,400 Brandon Avenue,ANNOYING PHONE CALLS
2/14/2018,1635,1215 Lee Street,ACCIDENT
2/14/2018,1552,295 Massie Road,ANNOYING PHONE CALLS
2/14/2018,1959,520 Buckler Drive,ASSAULT
2/14/2018,2023,McCormick Road/University Avenue,ACCIDENT
2/14/2018,2055,510 Seymour Road,SUSPICIOUS ACTIVITY
2/15/2018,946,112 11th Street,ATTEMPTED LARCENY
2/14/2018,1365,160 McCormick Road,LARCENY
2/15/2018,1351,1215 Lee Street,FOUND PROPERTY
2/15/2018,2237,72 Monroe Hill Road,DRUG VIOLATION
2/16/2018,159,x,x
2/16/2018,0,450 Treehouse Drive,"DIP, RESIST ARREST"
2/16/2018,245,130 Culbreth Road,CAR ALARM
2/16/2018,352,2 Pavilion,TRESPASS
2/16/2018,824,1240 Lee Street,LARCENY
2/16/2018,2048,600 McCormick Road,"FIRE, NOT ARSON"
2/17/2018,113,80 Monroe Hill Rd,"MEDICAL ASSIST, UNDERAGE POSSESSION"
2/17/2018,138,University Avenue,DIP
2/17/2018,153,248 McCormick Road,DIP
2/17/2018,230,1309 West Main Street,DIP
2/17/2018,2111,1210 Lee Street,HIT AND RUN
2/18/2018,10,425 Treehouse Drive,UNDERAGE POSSESSION
2/18/2018,27,1409 University Ave,UNDERAGE POSSESSION
2/18/2018,55,Jefferson Park Avenue/ West Main,DRUNK IN PUBLIC
2/18/2018,126,120 Chancellor Street,ASSIST CITIZEN
2/18/2018,325,1826 University Ave,DIP
2/18/2018,834,1215 Lee Street,ASSAULT SIMPLE
2/18/2018,1948,548 Buckler Drive,ASSIST CITIZEN
2/18/2018,2050,1215 Lee Street,SIMPLE ASSAULT
2/19/2018,226,1215 Lee Street,DRUNK IN PUBLIC
2/19/2018,1519,1335 Lee Street,ASSIST CITIZEN
2/19/2018,1616,1215 Lee Street,VANDALISM
2/19/2018,22:15,1540 Jefferson Park Avenue,FIRE
2/19/2018,2327,225 Hereford Drive,ASSIST CITIZEN
2/20/2018,205,Rugby Road / Culbreth Road,ASSIST AGENCY
2/20/2018,920,117 11th Street SW,ACCIDENT
2/20/2018,1233,476 Faulkner Way,HIT AND RUN
2/20/2018,1715,852 West Main Street,ASSIST CITIZEN
